Experiment Log:
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 30, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1184
Shifts: 1, Iterations: 10, Clashes: 100
Shifts: 1, Iterations: 20, Clashes: 180
Shifts: 1, Iterations: 30, Clashes: 104
Shifts: 5, Iterations: 5, Clashes: 76
Shifts: 5, Iterations: 10, Clashes: 0
Shifts: 5, Iterations: 20, Clashes: 6
Shifts: 5, Iterations: 30, Clashes: 50
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 4
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 6
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 10, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 854
Shifts: 1, Iterations: 10, Clashes: 32
Shifts: 1, Iterations: 20, Clashes: 142
Shifts: 1, Iterations: 30, Clashes: 246
Shifts: 5, Iterations: 5, Clashes: 14
Shifts: 5, Iterations: 10, Clashes: 52
Shifts: 5, Iterations: 20, Clashes: 26
Shifts: 5, Iterations: 30, Clashes: 40
Shifts: 10, Iterations: 5, Clashes: 8
Shifts: 10, Iterations: 10, Clashes: 4
Shifts: 10, Iterations: 20, Clashes: 6
Shifts: 10, Iterations: 30, Clashes: 34
Shifts: 15, Iterations: 5, Clashes: 10
Shifts: 15, Iterations: 10, Clashes: 8
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 20, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1136
Shifts: 1, Iterations: 10, Clashes: 48
Shifts: 1, Iterations: 20, Clashes: 136
Shifts: 1, Iterations: 30, Clashes: 184
Shifts: 5, Iterations: 5, Clashes: 24
Shifts: 5, Iterations: 10, Clashes: 8
Shifts: 5, Iterations: 20, Clashes: 0
Shifts: 5, Iterations: 30, Clashes: 18
Shifts: 10, Iterations: 5, Clashes: 16
Shifts: 10, Iterations: 10, Clashes: 26
Shifts: 10, Iterations: 20, Clashes: 12
Shifts: 10, Iterations: 30, Clashes: 2
Shifts: 15, Iterations: 5, Clashes: 2
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 20, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1182
Shifts: 1, Iterations: 10, Clashes: 38
Shifts: 1, Iterations: 20, Clashes: 114
Shifts: 1, Iterations: 30, Clashes: 146
Shifts: 5, Iterations: 5, Clashes: 24
Shifts: 5, Iterations: 10, Clashes: 28
Shifts: 5, Iterations: 20, Clashes: 38
Shifts: 5, Iterations: 30, Clashes: 102
Shifts: 10, Iterations: 5, Clashes: 0
Shifts: 10, Iterations: 10, Clashes: 6
Shifts: 10, Iterations: 20, Clashes: 0
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 10, Optimal Iterations: 5, Minimum Clashes: 0
Experiment Log:
Experiment Log:
Experiment Log:
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1248
Shifts: 1, Iterations: 10, Clashes: 46
Shifts: 1, Iterations: 20, Clashes: 134
Shifts: 1, Iterations: 30, Clashes: 170
Shifts: 5, Iterations: 5, Clashes: 10
Shifts: 5, Iterations: 10, Clashes: 0
Shifts: 5, Iterations: 20, Clashes: 8
Shifts: 5, Iterations: 30, Clashes: 4
Shifts: 10, Iterations: 5, Clashes: 10
Shifts: 10, Iterations: 10, Clashes: 0
Shifts: 10, Iterations: 20, Clashes: 4
Shifts: 10, Iterations: 30, Clashes: 0
Shifts: 15, Iterations: 5, Clashes: 0
Shifts: 15, Iterations: 10, Clashes: 0
Shifts: 15, Iterations: 20, Clashes: 0
Shifts: 15, Iterations: 30, Clashes: 0
Optimal Shifts: 5, Optimal Iterations: 10, Minimum Clashes: 0
Experiment Log:
Shifts: 1, Iterations: 5, Clashes: 1122
Shifts: 1, Iterations: 10, Clashes: 12
Shifts: 1, Iterations: 20, Clashes: 214
Shifts: 1, Iterations: 30, Clashes: 152
Shifts: 5, Iterations: 5, Clashes: 54
Shifts: 5, Iterations: 10, Clashes: 46
